Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
23/09/2020,"912,50","+6,31(+0,70%)",392.506.597,"6.483,86 tỷ",26.774.807,"616,71 tỷ",23.505.557,"492,04 tỷ"
22/09/2020,"906,19","-1,75(-0,19%)",401.407.999,"6.745,96 tỷ",22.564.790,"548,65 tỷ",17.861.890,"466,31 tỷ"
21/09/2020,"907,94","+6,99(+0,78%)",403.435.014,"7.716,50 tỷ",22.890.390,"676,43 tỷ",21.922.360,"574,97 tỷ"
18/09/2020,"900,95","+6,91(+0,77%)",361.844.377,"6.661,62 tỷ",29.342.250,"827,81 tỷ",31.693.810,"895,59 tỷ"
17/09/2020,"894,04","-3,43(-0,38%)",395.454.931,"6.544,27 tỷ",24.834.950,"636,25 tỷ",29.099.780,"746,93 tỷ"
16/09/2020,"897,47","+1,21(+0,14%)",290.433.568,"5.049,80 tỷ",10.055.070,"237,55 tỷ",17.083.780,"402,36 tỷ"
15/09/2020,"896,26","+1,69(+0,19%)",381.798.801,"6.725,95 tỷ",19.516.760,"467,75 tỷ",26.430.775,"828,09 tỷ"
14/09/2020,"894,57","+5,60(+0,63%)",364.431.541,"6.380,38 tỷ",16.520.420,"413,12 tỷ",30.456.756,"840,44 tỷ"
11/09/2020,"888,97","+0,15(+0,02%)",309.908.605,"5.517,67 tỷ",21.437.130,"600,67 tỷ",32.870.950,"909,73 tỷ"
10/09/2020,"888,82","-0,50(-0,06%)",387.236.519,"11.429,46 tỷ",83.413.896,"5.720,04 tỷ",33.570.290,"972,07 tỷ"
09/09/2020,"889,32","-0,82(-0,09%)",318.443.237,"5.985,20 tỷ",20.768.880,"465,29 tỷ",26.475.230,"634,44 tỷ"
08/09/2020,"890,14","+1,89(+0,21%)",294.020.747,"5.788,10 tỷ",18.175.603,"536,17 tỷ",29.265.760,"965,48 tỷ"
07/09/2020,"888,25","-13,29(-1,47%)",434.062.933,"7.587,74 tỷ",25.861.120,"756,25 tỷ",23.447.170,"702,87 tỷ"
04/09/2020,"901,54","-2,43(-0,27%)",346.438.791,"6.732,39 tỷ",32.437.020,"1.113,60 tỷ",31.766.480,"1.128,25 tỷ"
